Instrument,Date,Volume (total),Open Interest (total),Open Interest change,Settlement Price,Settlement Change,Settlement % Chg,Delta RTH,Signal,Contract,Session Open
CL,25/08/2026,757809,1906740,-3644,82.36,-2.65,-3.12,-3.14,Bearish,OCT26,85.03
ES,25/08/2026,1002413,2045669,5533,7692,22.25,0.29,0.21,Sideways,SEP26,7676
GC,25/08/2026,210909,427957,1269,4694.5,-3.3,-0.07,-0.33,Sideways,DEC26,4710.1
NQ,25/08/2026,487902,301987,-448,29276.75,171,0.59,0.47,Sideways,SEP26,29140.5
SI,25/08/2026,85355,113801,-1722,69.47,0.089,0.13,-0.44,Sideways,DEC26,69.775
YM,25/08/2026,53574,88454,-529,53645,156,0.29,0.23,Sideways,SEP26,53524
